case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case89pegase,WARM+LAZY,54,12.77343256438352,12.685894732419008,12.220572465753309,13.33714223284053,12.163029988045864,13.235716823805458,0.9474998712539673,1.0,0.0,8.590397830137299
matpower/case89pegase,WARM+LAZY+BANDIT,54,12.823998268591366,12.655257455211505,12.265709367474274,13.40797885271854,12.272651562673031,13.285468798459451,0.9435000419616699,1.0,0.0,8.614709779776403
matpower/case89pegase,WARM+LAZY+COMMIT,54,12.799606664527381,12.406357458081459,12.232519391050825,13.394674368843596,12.024763814206246,13.395172463295854,0.9500000476837158,1.0,0.0,8.59362496036137
matpower/case89pegase,WARM+LAZY+GRU,54,12.454025246430799,12.151612214120572,11.86487547184745,13.04914799383641,11.648445247871066,12.486457474221853,0.9795000553131104,1.0,0.0,8.213334612109252
matpower/case89pegase,WARM+PRUNE-0.10,54,25.83006561160453,24.829240418107588,24.396181871568544,27.260201607091503,24.182739749720803,26.83657889745704,0.46900010108947754,1.0,0.0,9.643985517197217
matpower/case89pegase,WARM+PRUNE-0.10+GNN,54,25.752349440254996,25.68463450175753,24.364470243408284,27.135311306267482,23.535762223157484,26.530265959821765,0.4624999761581421,1.0,0.0,9.584479983821792
matpower/case89pegase,WARM+PRUNE-0.20,54,21.51286296287107,22.9183569150471,19.351016880337557,23.569820932162987,21.106840050625422,24.7837368944276,0.5219999551773071,1.0,0.0,8.6847194416605
matpower/case89pegase,WARM+PRUNE-0.20+GNN,54,21.176221722834864,21.951136664548507,19.148025211725365,23.04676163875746,20.910779251638424,24.453227194037567,0.5344998836517334,1.0,0.0,8.632062355602704
matpower/case89pegase,WARM+PRUNE-0.30,54,16.215083618276733,15.972693231638303,14.122046377653753,18.29523017027289,11.746102228283405,19.19881006044481,0.7615001201629639,1.0,0.0,6.956630728496769
matpower/case89pegase,WARM+PRUNE-0.30+GNN,54,16.178337363499082,15.95811163445847,14.100821987522917,18.264998133666314,11.914553955287909,19.513970931646547,0.7445001602172852,1.0,0.0,6.904809727241395
matpower/case89pegase,WARM+PRUNE-0.50,54,3.920136439441121,3.600044714483591,3.5037908628646077,4.3978590977344,3.3419232337206424,4.130134866099941,3.1929999589920044,1.0,0.0,3.5615481906559183
matpower/case89pegase,WARM+PRUNE-0.50+GNN,54,3.9234060071129666,3.6099088381817754,3.511872779763516,4.394752641842046,3.2737315624335324,4.150085673080545,3.2429999113082886,1.0,0.0,3.607078431629981
matpower/case89pegase,WARM+PRUNE-0.80,54,2.430115587870037,2.28930729275059,2.2798764998372647,2.5907878940127667,2.1153430648011984,2.5538715416678714,4.946499943733215,1.0,0.0,2.3904772822014064
matpower/case89pegase,WARM+PRUNE-0.80+GNN,54,2.4249638355508845,2.339721698883926,2.2759826451521015,2.582668350124483,2.1245259794472893,2.5277416340477434,4.947499990463257,1.0,0.0,2.4167821699232523
